Date;Entrees
01/07/2017;2770
02/07/2017;3354
03/07/2017;3573
04/07/2017;0
05/07/2017;3214
06/07/2017;2968
07/07/2017;2861
08/07/2017;3064
09/07/2017;3674
10/07/2017;3954
11/07/2017;0
12/07/2017;3179
13/07/2017;2969
14/07/2017;2664
15/07/2017;3189
16/07/2017;3114
17/07/2017;3960
18/07/2017;0
19/07/2017;3484
20/07/2017;3522
21/07/2017;3114
22/07/2017;3306
23/07/2017;3665
24/07/2017;4249
25/07/2017;0
26/07/2017;3858
27/07/2017;3652
28/07/2017;3118
29/07/2017;3288
30/07/2017;3579
31/07/2017;4274
01/08/2017;0
02/08/2017;3816
03/08/2017;3661
04/08/2017;3358
05/08/2017;3435
06/08/2017;4052
07/08/2017;4547
08/08/2017;0
09/08/2017;4295
10/08/2017;4294
11/08/2017;3636
12/08/2017;3926
13/08/2017;4051
14/08/2017;4485
15/08/2017;0
16/08/2017;4278
17/08/2017;4179
18/08/2017;4090
19/08/2017;4137
20/08/2017;4174
21/08/2017;4414
22/08/2017;0
23/08/2017;4417
24/08/2017;4426
25/08/2017;3796
26/08/2017;4262
27/08/2017;4221
28/08/2017;4660
29/08/2017;0
30/08/2017;4494
31/08/2017;4575
01/09/2017;5831
02/09/2017;4039
03/09/2017;4215
04/09/2017;4371
05/09/2017;0
06/09/2017;4156
07/09/2017;4010
08/09/2017;3869
09/09/2017;4286
10/09/2017;4226
11/09/2017;4649
12/09/2017;0
13/09/2017;4189
14/09/2017;4029
15/09/2017;3743
16/09/2017;4336
17/09/2017;4229
18/09/2017;4882
19/09/2017;0
20/09/2017;4224
21/09/2017;0
22/09/2017;0
23/09/2017;0
24/09/2017;0
25/09/2017;0
26/09/2017;0
27/09/2017;4587
28/09/2017;840
29/09/2017;0
30/09/2017;0
01/10/2017;0
02/10/2017;2481
03/10/2017;0
04/10/2017;4520
05/10/2017;4208
06/10/2017;3772
07/10/2017;3682
08/10/2017;3860
09/10/2017;4295
10/10/2017;0
11/10/2017;4395
12/10/2017;4330
13/10/2017;4023
14/10/2017;4138
15/10/2017;4058
16/10/2017;0
17/10/2017;0
18/10/2017;4557
19/10/2017;4365
20/10/2017;3940
21/10/2017;4378
22/10/2017;4096
23/10/2017;2280
24/10/2017;0
25/10/2017;0
26/10/2017;0
27/10/2017;0
28/10/2017;0
29/10/2017;0
30/10/2017;0
31/10/2017;0
